week,page,page_title,title,url
1,1,Listening Part1:Short conversation,Conversation 1,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/1.mp3
1,1,Listening Part1:Short conversation,Conversation 2,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/2.mp3
1,1,Listening Part1:Short conversation,Conversation 3,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/3.mp3
1,1,Listening Part1:Short conversation,Conversation 4,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/4.mp3
1,1,Listening Part1:Short conversation,Conversation 5,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/5.mp3
1,1,Listening Part1:Short conversation,Conversation 6,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/6.mp3
1,1,Listening Part1:Short conversation,Conversation 7,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/7.mp3
1,1,Listening Part1:Short conversation,Conversation 8,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/8.mp3
1,1,Listening Part1:Short conversation,Conversation 9,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/9.mp3
1,1,Listening Part1:Short conversation,Conversation 10,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part1/10.mp3
1,2,Listening Part2:Question-Response,Question 1,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/1.mp3
1,2,Listening Part2:Question-Response,Question 2,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/2.mp3
1,2,Listening Part2:Question-Response,Question 3,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/3.mp3
1,2,Listening Part2:Question-Response,Question 4,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/4.mp3
1,2,Listening Part2:Question-Response,Question 5,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/5.mp3
1,2,Listening Part2:Question-Response,Question 6,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/6.mp3
1,2,Listening Part2:Question-Response,Question 7,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/7.mp3
1,2,Listening Part2:Question-Response,Question 8,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/8.mp3
1,2,Listening Part2:Question-Response,Question 9,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/9.mp3
1,2,Listening Part2:Question-Response,Question 10,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part2/10.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 1,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/1.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 2,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/2.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 3,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/3.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 4,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/4.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 5,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/5.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 6,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/6.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 7,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/7.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 8,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/8.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 9,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/9.mp3
1,3,Listening Part3:Announcement/Monologue,Monologue 10,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part3/10.mp3
1,4,Listening Part4:Conversation,Conversation 1,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/1.mp3
1,4,Listening Part4:Conversation,Conversation 2,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/2.mp3
1,4,Listening Part4:Conversation,Conversation 3,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/3.mp3
1,4,Listening Part4:Conversation,Conversation 4,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/4.mp3
1,4,Listening Part4:Conversation,Conversation 5,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/5.mp3
1,4,Listening Part4:Conversation,Conversation 6,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/6.mp3
1,4,Listening Part4:Conversation,Conversation 7,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/7.mp3
1,4,Listening Part4:Conversation,Conversation 8,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/8.mp3
1,4,Listening Part4:Conversation,Conversation 9,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/9.mp3
1,4,Listening Part4:Conversation,Conversation 10,https://office-english-public.s3.ap-northeast-1.amazonaws.com/class_demo/week1/part4/10.mp3
